
**************** NEW TRAIN SESSION ****************
1863 (2528 0%) Loss: 2.92311573
1875 (2544 0%) Loss: 3.29130912
1886 (2560 0%) Loss: 12.36494255
1898 (2576 0%) Loss: 2.92041659
1910 (2592 0%) Loss: 3.17128038
1922 (2608 0%) Loss: 3.07694936
1933 (2624 0%) Loss: 2.99817276
1945 (2640 0%) Loss: 3.13477707
1957 (2656 0%) Loss: 2.90616751
1969 (2672 0%) Loss: 2.93822575
1981 (2688 0%) Loss: 2.94775772
1992 (2704 0%) Loss: 3.58138704
2004 (2720 0%) Loss: 2.99762177
2016 (2736 0%) Loss: 18.07913589
2028 (2752 0%) Loss: 3.04998112
2039 (2768 0%) Loss: 3.25065517
2051 (2784 0%) Loss: 6.67973280
2063 (2800 0%) Loss: 3.09316492
2075 (2816 0%) Loss: 4.83906460
2087 (2832 0%) Loss: 3.80679440
2098 (2848 0%) Loss: 5.03304148
2110 (2864 0%) Loss: 2.86504960
2122 (2880 0%) Loss: 7.77850485
2134 (2896 0%) Loss: 2.99549556
2145 (2912 0%) Loss: 3.90181684
2157 (2928 0%) Loss: 2.80725288
2169 (2944 0%) Loss: 3.11070943
2181 (2960 0%) Loss: 2.93973064
2192 (2976 0%) Loss: 3.14920282
2204 (2992 0%) Loss: 3.16816092
2216 (3008 0%) Loss: 9.61032200
2228 (3024 0%) Loss: 4.40175533
2239 (3040 0%) Loss: 22.15482521
2251 (3056 0%) Loss: 3.53292394
2263 (3072 0%) Loss: 3.15225720
2274 (3088 0%) Loss: 7.12478352
2286 (3104 0%) Loss: 5.37354088
2298 (3120 0%) Loss: 3.05998230
2309 (3136 0%) Loss: 5.80663490
2321 (3152 0%) Loss: 8.61158085
2333 (3168 0%) Loss: 16.38551903
2345 (3184 0%) Loss: 3.22509480
2356 (3200 0%) Loss: 3.18261981
2368 (3216 0%) Loss: 3.15127993
2379 (3232 0%) Loss: 14.12022781
2391 (3248 0%) Loss: 8.17068005
2403 (3264 0%) Loss: 6.26735640
2415 (3280 0%) Loss: 8.04395485
2426 (3296 0%) Loss: 7.67718697
2438 (3312 0%) Loss: 3.39930391
2450 (3328 0%) Loss: 7.76034069
2461 (3344 0%) Loss: 5.58360767
2473 (3360 0%) Loss: 3.22387719
2485 (3376 0%) Loss: 16.44610596
2496 (3392 0%) Loss: 15.89209843
2508 (3408 0%) Loss: 14.73393440
2520 (3424 0%) Loss: 2.87273574
2532 (3440 0%) Loss: 7.89575958
2543 (3456 0%) Loss: 3.29929280
2555 (3472 0%) Loss: 2.71253991
2567 (3488 0%) Loss: 11.23332691
2579 (3504 0%) Loss: 5.77221823
2590 (3520 0%) Loss: 2.92960453
2602 (3536 0%) Loss: 2.85639238
2614 (3552 0%) Loss: 3.11932373
2626 (3568 0%) Loss: 4.44863224
2637 (3584 0%) Loss: 3.35300350
2649 (3600 0%) Loss: 3.28420544
2661 (3616 0%) Loss: 3.33375192
2673 (3632 0%) Loss: 5.66984653
2684 (3648 0%) Loss: 3.00518537
2696 (3664 0%) Loss: 7.15210438
2708 (3680 0%) Loss: 2.86389494
2720 (3696 0%) Loss: 5.84626341
2732 (3712 0%) Loss: 8.81671715
2743 (3728 0%) Loss: 8.11662865
2755 (3744 0%) Loss: 3.03840470
2767 (3760 0%) Loss: 3.31120968
2779 (3776 0%) Loss: 6.96237707
2790 (3792 0%) Loss: 3.73146772
2802 (3808 0%) Loss: 3.27339244
2814 (3824 0%) Loss: 2.98828149
2826 (3840 0%) Loss: 3.35636926
2838 (3856 0%) Loss: 14.25782108
2849 (3872 0%) Loss: 3.43875623
2861 (3888 0%) Loss: 6.10578108
2873 (3904 0%) Loss: 3.28325295
2885 (3920 0%) Loss: 3.41387916
2896 (3936 0%) Loss: 38.99731445
2908 (3952 0%) Loss: 2.76297307
2920 (3968 0%) Loss: 3.28470373
2932 (3984 0%) Loss: 2.88791442
2943 (4000 0%) Loss: 3.08697939
2955 (4016 0%) Loss: 10.95537186
2967 (4032 0%) Loss: 6.34515858
2979 (4048 0%) Loss: 2.82140517
2990 (4064 0%) Loss: 4.98063707
3002 (4080 0%) Loss: 3.20045543
3014 (4096 0%) Loss: 14.77360535
3026 (4112 0%) Loss: 3.31896281
3038 (4128 0%) Loss: 23.43485260
3050 (4144 0%) Loss: 2.77318406
3061 (4160 0%) Loss: 2.92044854
3073 (4176 0%) Loss: 3.34368992
3085 (4192 0%) Loss: 5.73341513
3097 (4208 0%) Loss: 3.24153447
3108 (4224 0%) Loss: 3.01015186
3120 (4240 0%) Loss: 4.65009832
3132 (4256 0%) Loss: 3.18300295
3144 (4272 0%) Loss: 3.42528820
3155 (4288 0%) Loss: 4.78339863
3167 (4304 0%) Loss: 3.34833121
3179 (4320 0%) Loss: 8.37016773
3191 (4336 0%) Loss: 3.18583107
3202 (4352 0%) Loss: 3.52442431
3214 (4368 0%) Loss: 4.07775068
3226 (4384 0%) Loss: 5.45273876
3238 (4400 0%) Loss: 3.38547349
3249 (4416 0%) Loss: 14.91458416
3261 (4432 0%) Loss: 2.89765620
3273 (4448 0%) Loss: 15.00512028
3285 (4464 0%) Loss: 4.50366735
3296 (4480 0%) Loss: 4.00481462
3308 (4496 0%) Loss: 2.85260057
3320 (4512 0%) Loss: 7.38142300
3332 (4528 0%) Loss: 2.89346695
3344 (4544 0%) Loss: 11.65439129
3355 (4560 0%) Loss: 3.61572170
3367 (4576 0%) Loss: 7.29622364
3379 (4592 0%) Loss: 8.77408504
3391 (4608 0%) Loss: 3.29461861
3403 (4624 0%) Loss: 3.57491875
3414 (4640 0%) Loss: 3.35201430
3426 (4656 0%) Loss: 3.02394247
3438 (4672 0%) Loss: 5.09141636
3450 (4688 0%) Loss: 6.92727995
3461 (4704 0%) Loss: 10.52490044
3473 (4720 0%) Loss: 3.28822231
3485 (4736 0%) Loss: 3.33088017
3497 (4752 0%) Loss: 4.02266884
3508 (4768 0%) Loss: 3.17545819
3520 (4784 0%) Loss: 3.26976252
3532 (4800 0%) Loss: 2.91942239
3544 (4816 0%) Loss: 3.37226152
3555 (4832 0%) Loss: 3.24606562
3567 (4848 0%) Loss: 13.27598286
3579 (4864 0%) Loss: 4.37696218
